Id,,dG [kcal/mol] mean
A198_out_frst.sdf,,-8.93664938
A201_out_frst.sdf,,-9.226203254
A207_out_frst.sdf,,-6.318936396
A210_out_frst.sdf,,-10.67872225
A215_out_frst.sdf,,-7.549889813
A219_out_frst.sdf,,-6.051772928
A220_out_frst.sdf,,-6.501946122
A221_out_frst.sdf,,-8.669847597
A223_out_frst.sdf,,-7.452835076
A225_out_frst.sdf,,-8.613567557
A227_out_frst.sdf,,-7.145821309
A232_out_frst.sdf,,-7.200350312
A233_out_frst.sdf,,-6.655660149
A236_out_frst.sdf,,-6.802909654
A239_out_frst.sdf,,-9.305423079
A241_out_frst.sdf,,-6.832433234
A245_out_frst.sdf,,-7.185888178
A246_out_frst.sdf,,-8.594249858
A247_out_frst.sdf,,-8.276358982
A249_out_frst.sdf,,-6.456176448
A263_out_frst.sdf,,-6.724331352
A268_out_frst.sdf,,-8.819390988
A269_out_frst.sdf,,-6.744997573
A271_out_frst.sdf,,-7.469441843
A272_out_frst.sdf,,-7.421164748
A278_out_frst.sdf,,-8.660070624
A283_out_frst.sdf,,-8.386977022
A287_out_frst.sdf,,-8.491467578
A288_out_frst.sdf,,-8.694912795
A289_out_frst.sdf,,-7.081648309
A290_out_frst.sdf,,-8.336084175
A291_out_frst.sdf,,-9.480846722
A315_out_frst.sdf,,-8.946299539
A316_out_frst.sdf,,-8.629350625
A317_out_frst.sdf,,-8.559094283
A319_out_frst.sdf,,-8.626114041
A328_out_frst.sdf,,-8.779803331
A331_out_frst.sdf,,-8.701391571
A339_out_frst.sdf,,-7.369320927
A343_out_frst.sdf,,-6.594611539
A352_out_frst.sdf,,-8.576092621
A357_out_frst.sdf,,-7.971700624
A358_out_frst.sdf,,-7.560860814
A360_out_frst.sdf,,-8.35633565
A384_out_frst.sdf,,-6.524286318
A387_out_frst.sdf,,-6.983274569
A390_out_frst.sdf,,-6.434537458
A393_out_frst.sdf,,-7.551344
A395_out_frst.sdf,,-6.910496644
A397_out_frst.sdf,,-7.517742021
A399_out_frst.sdf,,-8.370720352
A405_out_frst.sdf,,-7.760321433
A406_out_frst.sdf,,-7.978506875
A408_out_frst.sdf,,-9.528380861
A410_out_frst.sdf,,-7.439147626
A427_out_frst.sdf,,-7.619135959
A428_out_frst.sdf,,-5.677333438
A429_out_frst.sdf,,-7.519108752
A430_out_frst.sdf,,-8.329030364
A432_out_frst.sdf,,-6.733237359
A438_out_frst.sdf,,-6.765799989
A443_out_frst.sdf,,-8.516375889
A444_out_frst.sdf,,-7.370926206
A445_out_frst.sdf,,-7.448053541
A447_out_frst.sdf,,-7.81644422
A449_out_frst.sdf,,-8.282262724
A450_out_frst.sdf,,-7.785990173
A453_out_frst.sdf,,-7.683917836
A459_out_frst.sdf,,-8.64899635
A461_out_frst.sdf,,-7.901167294
A462_out_frst.sdf,,-8.011253336
A472_out_frst.sdf,,-6.235505564
A473_out_frst.sdf,,-8.440573168
A475_out_frst.sdf,,-6.868803161
A476_out_frst.sdf,,-8.210745866
A490_out_frst.sdf,,-7.206557066
A493_out_frst.sdf,,-8.033576335
A495_out_frst.sdf,,-8.021175425
A497_out_frst.sdf,,-8.717008649
A498_out_frst.sdf,,-6.651129024
A499_out_frst.sdf,,-6.932601602
A512_out_frst.sdf,,-9.025608935
A513_out_frst.sdf,,-7.009119231
A514_out_frst.sdf,,-8.630840216
A515_out_frst.sdf,,-8.976470804
A516_out_frst.sdf,,-7.013997327
A524_out_frst.sdf,,-8.729601022
A525_out_frst.sdf,,-8.676790687
A526_out_frst.sdf,,-9.633652353
A527_out_frst.sdf,,-7.946795624
A530_out_frst.sdf,,-8.644861947
A536_out_frst.sdf,,-8.817769524
A539_out_frst.sdf,,-8.676111552
A542_out_frst.sdf,,-9.397130901
A546_out_frst.sdf,,-8.884565909
A552_out_frst.sdf,,-7.81598947
A555_out_frst.sdf,,-9.043312434
A556_out_frst.sdf,,-7.229607204
A557_out_frst.sdf,,-7.516813578
A566_out_frst.sdf,,-8.809188693
A100_out_frst.sdf,,-7.982146066
A105_out_frst.sdf,,-7.630648567
A109_out_frst.sdf,,-8.950155207
A110_out_frst.sdf,,-8.620180137
A112_out_frst.sdf,,-8.00140638
A113_out_frst.sdf,,-7.292370987
A125_out_frst.sdf,,-5.943370608
A128_out_frst.sdf,,-7.657583203
A137_out_frst.sdf,,-5.887176321
A139_out_frst.sdf,,-8.738951387
A13_out_frst.sdf,,-6.168571697
A141_out_frst.sdf,,-8.499952218
A142_out_frst.sdf,,-6.246437481
A145_out_frst.sdf,,-6.921015194
A14_out_frst.sdf,,-5.815994525
A155_out_frst.sdf,,-8.581244394
A156_out_frst.sdf,,-8.126943694
A157_out_frst.sdf,,-7.664441596
A158_out_frst.sdf,,-8.229206116
A15_out_frst.sdf,,-6.371562256
A160_out_frst.sdf,,-8.22003572
A161_out_frst.sdf,,-8.683116439
A166_out_frst.sdf,,-7.032104904
A169_out_frst.sdf,,-6.567118514
A16_out_frst.sdf,,-6.702212231
A187_out_frst.sdf,,-5.824145666
A190_out_frst.sdf,,-6.684356812
A192_out_frst.sdf,,-5.704110222
A194_out_frst.sdf,,-8.454688699
A195_out_frst.sdf,,-7.911860204
A24_out_frst.sdf,,-6.424335531
A30_out_frst.sdf,,-6.762532783
A32_out_frst.sdf,,-7.628454045
A33_out_frst.sdf,,-6.958625773
A35_out_frst.sdf,,-7.206143699
A48_out_frst.sdf,,-6.365935319
A57_out_frst.sdf,,-6.527543592
A64_out_frst.sdf,,-7.820799238
A65_out_frst.sdf,,-7.875177792
A66_out_frst.sdf,,-8.258929161
A67_out_frst.sdf,,-6.301965415
A72_out_frst.sdf,,-8.109684736
A77_out_frst.sdf,,-7.546620308
A7_out_frst.sdf,,-6.782751519
A86_out_frst.sdf,,-6.965413632
A87_out_frst.sdf,,-8.107186328
A88_out_frst.sdf,,-5.546655296
A96_out_frst.sdf,,-6.833941862
A98_out_frst.sdf,,-7.904428615
A99_out_frst.sdf,,-8.325783941
Novobiocin.sdf,,-4.969962685
